much	negative:-4.9485655646877005	positive:-4.9126872770227985
peoples	negative:-9.630168502920114	positive:-8.71387777104596
Confederacy	negative:-10.323184242891017	positive:-9.630037062331072
states	negative:-9.224736252259914	positive:-8.713910628493924
gifted	negative:-10.323282824952447	positive:-8.713844912518347
enlisted	negative:-10.323184242891017	positive:-9.630037062331072
husband	negative:-7.328634313142655	positive:-7.379927607530206
divided	negative:-9.22470339481195	positive:-8.937021322360168
guts	negative:-8.244136971159776	positive:-8.377668363784299
foraging	negative:-10.323184242891017	positive:-9.630037062331072
loyalties	negative:-10.323217104657997	positive:-9.224604815989887
seriously	negative:-6.992555880674602	positive:-7.189266174920657
Chris	negative:-8.126616695801824	positive:-7.684783943522785
acquaintance	negative:-9.630069924098052	positive:-9.630069924098052
Captain	negative:-9.224834818126634	positive:-8.24400556511491
upon	negative:-7.106081409917807	positive:-6.859221331986282
Sesech	negative:-10.323184242891017	positive:-9.630037062331072
Union	negative:-9.630267072025351	positive:-8.24397271090546
Eastern	negative:-8.713943484862313	positive:-8.937087036176523
Civil	negative:-9.224769108628303	positive:-8.531621928068358
farm	negative:-8.531786193719137	positive:-8.244104121267357
border	negative:-9.22470339481195	positive:-8.937021322360168
sentiments	negative:-9.224670536284338	positive:-9.224670536284338
study	negative:-8.244268359939364	positive:-7.925814628820829
treatise	negative:-9.224604815989887	positive:-10.323217104657997
mainstream	negative:-8.377668363784299	positive:-8.244136971159776
evangelicals	negative:-9.630037062331072	positive:-10.323184242891017
manned	negative:-9.224637676677007	positive:-9.630102784785171
Hangman	negative:-9.630037062331072	positive:-10.323184242891017
contrast	negative:-8.244136971159776	positive:-8.377668363784299
realized	negative:-7.684783943522785	positive:-8.126616695801824
personalities	negative:-9.224801963917187	positive:-8.377504103529983
heavy-handed	negative:-9.630037062331072	positive:-10.323184242891017
veers	negative:-9.630069924098052	positive:-9.630069924098052
Sadly	negative:-8.377569810869517	positive:-8.714042047490729
Rent	negative:-8.937054179808134	positive:-8.937054179808134
passable	negative:-9.630069924098052	positive:-9.630069924098052
Visitation	negative:-9.630037062331072	positive:-10.323184242891017
lower-budget	negative:-9.630037062331072	positive:-10.323184242891017
wasted	negative:-6.827891848166837	positive:-8.378489260578004
vocal	negative:-9.224736252259914	positive:-8.713910628493924
provocative	negative:-9.630037062331072	positive:-10.323184242891017
aforementioned	negative:-8.243939855616578	positive:-10.323381397296414
tact	negative:-9.630037062331072	positive:-10.323184242891017
Duvall	negative:-8.937054179808134	positive:-8.937054179808134
suggested	negative:-8.937021322360168	positive:-9.22470339481195
capably	negative:-9.630037062331072	positive:-10.323184242891017
lacking	negative:-7.758694851925745	positive:-8.937349848267392
annoying.	negative:-8.936955604225226	positive:-10.323249965345116
aisle	negative:-9.630037062331072	positive:-10.323184242891017
Champion	negative:-9.630037062331072	positive:-10.323184242891017
evangelistic	negative:-9.630037062331072	positive:-10.323184242891017
embarrassing	negative:-7.758629155378076	positive:-9.630431332279667
regrettable	negative:-9.224604815989887	positive:-10.323217104657997
create	negative:-7.433929179694927	positive:-7.379861958424652
Mercy	negative:-9.630069924098052	positive:-9.630069924098052
readers	negative:-9.224637676677007	positive:-9.630102784785171
Streets	negative:-9.22470339481195	positive:-8.937021322360168
note	negative:-7.759088940600797	positive:-7.551449575822552
ranges	negative:-9.630037062331072	positive:-10.323184242891017
From	negative:-7.105622047111554	positive:-7.43412611408359
endgame	negative:-9.630037062331072	positive:-10.323184242891017
Pentecostal	negative:-9.630037062331072	positive:-10.323184242891017
one-dimensional	negative:-8.937021322360168	positive:-9.22470339481195
Unidentified	negative:-9.630037062331072	positive:-10.323184242891017
sounding	negative:-8.531654783357242	positive:-8.937119891465406
St.	negative:-9.224670536284338	positive:-9.224670536284338
conservative	negative:-9.224769108628303	positive:-8.531621928068358
considering	negative:-7.68475110226102	positive:-8.244366890196442
non-Christian	negative:-9.630037062331072	positive:-10.323184242891017
applaud	negative:-9.630102784785171	positive:-9.224637676677007
supporting	negative:-7.434290196453308	positive:-6.923464572687317
unbelievable	negative:-7.615791072035833	positive:-8.244399731458207
Nevertheless	negative:-8.714107750513092	positive:-8.126321085610973
Curse	negative:-8.53168763756669	positive:-8.714009194360644
faith	negative:-8.937284151719721	positive:-7.925683240041241
storyline	negative:-7.146214281074121	positive:-7.839361461634066
UFO	negative:-9.224604815989887	positive:-10.323217104657997
store	negative:-7.0663356934711965	positive:-7.616382030390469
tone	negative:-7.684816783706036	positive:-8.021289020327249
flawed	negative:-8.377569810869517	positive:-8.714042047490729
filmmaker	negative:-8.37763551389188	positive:-8.37763551389188
Rebecca	negative:-9.224637676677007	positive:-9.630102784785171
virtue	negative:-8.936988463832558	positive:-9.630135644392501
abductions	negative:-9.224604815989887	positive:-10.323217104657997
seriously.	negative:-9.630037062331072	positive:-10.323184242891017
midway	negative:-9.224637676677007	positive:-9.630102784785171
crusade	negative:-9.630037062331072	positive:-10.323184242891017
Rapture	negative:-9.630069924098052	positive:-9.630069924098052
Peretti-inspired	negative:-9.630037062331072	positive:-10.323184242891017
screening	negative:-8.937152745674855	positive:-8.377536957739432
Peretti	negative:-9.630037062331072	positive:-10.323184242891017
fair	negative:-7.551252550898262	positive:-8.37793112408273
Christian	negative:-8.37763551389188	positive:-8.37763551389188
Apostle	negative:-9.630037062331072	positive:-10.323184242891017
preachy	negative:-9.630069924098052	positive:-9.630069924098052
genuinely	negative:-8.531753342747567	positive:-8.377602662920308
sledgehammer	negative:-9.630037062331072	positive:-10.323184242891017
screening.	negative:-9.630037062331072	positive:-10.323184242891017
spearheaded	negative:-9.630037062331072	positive:-10.323184242891017
decided	negative:-7.616119425346943	positive:-7.433797868552988
letdown.	negative:-9.630037062331072	positive:-10.323184242891017
orchestrated	negative:-9.630037062331072	positive:-10.323184242891017
consider	negative:-7.839197314623636	positive:-7.379664985245196
oppressive	negative:-9.630037062331072	positive:-10.323184242891017
Sean	negative:-8.02109196304863	positive:-8.244235514362838
Powers	negative:-8.71387777104596	positive:-9.630168502920114
Quinn	negative:-9.224736252259914	positive:-8.713910628493924
Preston	negative:-9.630102784785171	positive:-9.224637676677007
disguise	negative:-9.630135644392501	positive:-8.936988463832558
suddenly	negative:-7.433568032556376	positive:-8.244498248772706
off.	negative:-8.531589071699969	positive:-9.63020136036808
Save	negative:-8.936955604225226	positive:-10.323249965345116
Dakota	negative:-9.224604815989887	positive:-10.323217104657997
Thing	negative:-8.714009194360644	positive:-8.53168763756669
Possibly	negative:-9.630069924098052	positive:-9.630069924098052
crate	negative:-9.224637676677007	positive:-9.630102784785171
rule	negative:-8.937119891465406	positive:-8.531654783357242
sheriff	negative:-8.244038418244994	positive:-8.93718559880494
Seuss	negative:-9.224604815989887	positive:-10.323217104657997
Universal	negative:-8.937119891465406	positive:-8.531654783357242
tame.	negative:-9.630069924098052	positive:-9.630069924098052
ho	negative:-9.630037062331072	positive:-10.323184242891017
Fanning	negative:-9.224604815989887	positive:-10.323217104657997
tweaked	negative:-9.630037062331072	positive:-10.323184242891017
surprisingly	negative:-7.759088940600797	positive:-7.551449575822552
sick.	negative:-9.224604815989887	positive:-10.323217104657997
Sally	negative:-8.53168763756669	positive:-8.714009194360644
Breslin	negative:-9.224604815989887	positive:-10.323217104657997
Kwan	negative:-9.630037062331072	positive:-10.323184242891017
cause	negative:-7.27954869405257	positive:-8.126846554439775
key	negative:-7.92588031673756	positive:-8.021190496541886
Miranda	negative:-8.937021322360168	positive:-9.22470339481195
Curiousity	negative:-9.630037062331072	positive:-10.323184242891017
Hayes	negative:-9.630102784785171	positive:-9.224637676677007
pinata	negative:-9.630037062331072	positive:-10.323184242891017
posing	negative:-8.713910628493924	positive:-9.224736252259914
C-SPAN	negative:-9.630037062331072	positive:-10.323184242891017
Cat.	negative:-9.630037062331072	positive:-10.323184242891017
rabid	negative:-9.224604815989887	positive:-10.323217104657997
Cat	negative:-9.224637676677007	positive:-9.630102784785171
slimey	negative:-9.630037062331072	positive:-10.323184242891017
sun	negative:-8.531621928068358	positive:-9.224769108628303
Aortic	negative:-9.630037062331072	positive:-10.323184242891017
slick	negative:-8.937119891465406	positive:-8.531654783357242
$	negative:-6.8280559466919595	positive:-7.839656858370439
filmmakers	negative:-7.105490761828445	positive:-7.6853092570813875
how.	negative:-9.630037062331072	positive:-10.323184242891017
Austin	negative:-8.713943484862313	positive:-8.937087036176523
Mother	negative:-9.63020136036808	positive:-8.531589071699969
Meyers	negative:-9.630069924098052	positive:-9.630069924098052
slices	negative:-9.630069924098052	positive:-9.630069924098052
locked	negative:-8.531621928068358	positive:-9.224769108628303
improvises	negative:-9.630037062331072	positive:-10.323184242891017
Humberfloob	negative:-9.630037062331072	positive:-10.323184242891017
lame	negative:-6.74111020157319	positive:-7.926733867230929
universe	negative:-8.714009194360644	positive:-8.53168763756669
testicles	negative:-9.630069924098052	positive:-9.630069924098052
stop	negative:-6.957234860621137	positive:-7.616480489505401
`	negative:-8.244169819973116	positive:-8.244169819973116
tail	negative:-8.937021322360168	positive:-9.22470339481195
control	negative:-8.126748050064458	positive:-7.433600869504513
fish	negative:-8.126288234639404	positive:-8.937218450855731
crude.	negative:-9.630037062331072	positive:-10.323184242891017
date	negative:-8.12655101219971	positive:-7.838868939747931
cow	negative:-8.937021322360168	positive:-9.22470339481195
brings	negative:-7.926405664792721	positive:-7.06620439956961
wet	negative:-8.713976340151197	positive:-8.713976340151197
asleep	negative:-7.9255846871264595	positive:-10.32347995992483
Ritter	negative:-9.224637676677007	positive:-9.630102784785171
chopping	negative:-9.630037062331072	positive:-10.323184242891017
sour	negative:-9.224670536284338	positive:-9.224670536284338
la	negative:-8.531621928068358	positive:-9.224769108628303
spiral	negative:-9.630102784785171	positive:-9.224637676677007
trashing	negative:-9.630069924098052	positive:-9.630069924098052
irreverent	negative:-9.630037062331072	positive:-10.323184242891017
grave.	negative:-9.630037062331072	positive:-10.323184242891017
Infomercial	negative:-9.630037062331072	positive:-10.323184242891017
babysit	negative:-9.630037062331072	positive:-10.323184242891017
Saying	negative:-8.936988463832558	positive:-9.630135644392501
hippie	negative:-9.224637676677007	positive:-9.630102784785171
disgusting	negative:-7.838704711864952	positive:-8.937317000533062
Mom	negative:-9.224670536284338	positive:-9.224670536284338
milk	negative:-9.22470339481195	positive:-8.937021322360168
Dr.	negative:-8.126748050064458	positive:-7.433600869504513
collar	negative:-9.630037062331072	positive:-10.323184242891017
activist	negative:-8.936988463832558	positive:-9.630135644392501
.-	negative:-9.630037062331072	positive:-10.323184242891017
whack	negative:-8.936988463832558	positive:-9.630135644392501
cold	negative:-8.12655101219971	positive:-7.838868939747931
Spencer	negative:-9.224604815989887	positive:-10.323217104657997
accident	negative:-8.531983276888873	positive:-7.68468541650167
imagining	negative:-9.224670536284338	positive:-9.224670536284338
bland.	negative:-9.630037062331072	positive:-10.323184242891017
trouble-making	negative:-9.630037062331072	positive:-10.323184242891017
Dissection	negative:-9.630037062331072	positive:-10.323184242891017
IS	negative:-7.615758230774069	positive:-8.377898282820965
court	negative:-8.937119891465406	positive:-8.531654783357242
Conrad	negative:-9.630069924098052	positive:-9.630069924098052
lone	negative:-9.630037062331072	positive:-10.323184242891017
warn	negative:-8.244071270295786	positive:-8.714074899541522
7.00	negative:-9.630037062331072	positive:-10.323184242891017
Lawrence	negative:-8.531786193719137	positive:-8.244104121267357
mom	negative:-8.021059116393236	positive:-8.377734060331969
parent	negative:-8.53168763756669	positive:-8.714009194360644
Hat	negative:-9.224604815989887	positive:-10.323217104657997
Theodore	negative:-8.937021322360168	positive:-9.22470339481195
Taiwanese	negative:-9.630037062331072	positive:-10.323184242891017
waves	negative:-8.937087036176523	positive:-8.713943484862313
animating	negative:-10.323184242891017	positive:-9.630037062331072
boat	negative:-8.531786193719137	positive:-8.244104121267357
wind	negative:-8.937152745674855	positive:-8.377536957739432
Miyazaki	negative:-9.630069924098052	positive:-9.630069924098052
recall	negative:-8.531720490696776	positive:-8.531720490696776
rain	negative:-9.224736252259914	positive:-8.713910628493924
wheelchair	negative:-9.630102784785171	positive:-9.224637676677007
simple	negative:-7.329552948377861	positive:-6.475137620221794
Castle.	negative:-10.323184242891017	positive:-9.630037062331072
Nausicaa	negative:-10.323184242891017	positive:-9.630037062331072
credits	negative:-7.0663028716118355	positive:-7.685342080018059
grown	negative:-8.377602662920308	positive:-8.531753342747567
evoked	negative:-10.323184242891017	positive:-9.630037062331072
Studio	negative:-9.630135644392501	positive:-8.936988463832558
Howl	negative:-10.323217104657997	positive:-9.224604815989887
powerful	negative:-9.225458843107884	positive:-7.0282342657716645
puts	negative:-8.126715213116322	positive:-7.490726446396325
red	negative:-7.925748936588912	positive:-8.531884740159228
touch	negative:-8.532147483198049	positive:-7.379467973259663
reach	negative:-7.759023269939141	positive:-7.68491529778542
loosely	negative:-8.244038418244994	positive:-8.93718559880494
witch	negative:-8.531654783357242	positive:-8.937119891465406
Sosuke	negative:-10.323184242891017	positive:-9.630037062331072
mermaid	negative:-10.323184242891017	positive:-9.630037062331072
inspired	negative:-8.021289020327249	positive:-7.684816783706036
remembers	negative:-9.224637676677007	positive:-9.630102784785171
Riisa	negative:-10.323184242891017	positive:-9.630037062331072
infusing	negative:-10.323184242891017	positive:-9.630037062331072
Totoro	negative:-10.323184242891017	positive:-9.630037062331072
Ponyo	negative:-10.323184242891017	positive:-9.630037062331072
catchy	negative:-10.32331568348006	positive:-8.531556214252005
Moving	negative:-10.323217104657997	positive:-9.224604815989887
Ghibli	negative:-10.323184242891017	positive:-9.630037062331072
miss	negative:-7.684980968447075	positive:-7.615988096960123
cringe	negative:-8.377536957739432	positive:-8.937152745674855
CRAP	negative:-9.630037062331072	positive:-10.323184242891017
horrific	negative:-8.713976340151197	positive:-8.713976340151197
cash	negative:-7.925748936588912	positive:-8.531884740159228
MEANT	negative:-9.630037062331072	positive:-10.323184242891017
doubt	negative:-7.0665654163279905	positive:-7.233619500991156
WRONG	negative:-8.531589071699969	positive:-9.63020136036808
worthy	negative:-7.925847473318557	positive:-8.126518168780708
quick	negative:-8.12648532428298	positive:-8.021124808625153
GOT	negative:-9.224604815989887	positive:-10.323217104657997
PLOT	negative:-9.630037062331072	positive:-10.323184242891017
YOU	negative:-8.244136971159776	positive:-8.377668363784299
SUCCESSFUL.	negative:-9.630037062331072	positive:-10.323184242891017
COME	negative:-9.630037062331072	positive:-10.323184242891017
ruined	negative:-8.126321085610973	positive:-8.714107750513092
BAD	negative:-8.531589071699969	positive:-9.63020136036808
ARE	negative:-8.53168763756669	positive:-8.714009194360644
pan	negative:-8.936988463832558	positive:-9.630135644392501
SAVE	negative:-9.630037062331072	positive:-10.323184242891017
ALL	negative:-8.531753342747567	positive:-8.377602662920308
mon	negative:-9.630037062331072	positive:-10.323184242891017
GUYS	negative:-9.630037062331072	positive:-10.323184242891017
epitome	negative:-8.936955604225226	positive:-10.323249965345116
co	negative:-9.224637676677007	positive:-9.630102784785171
Vegas	negative:-8.937021322360168	positive:-9.22470339481195
OUT	negative:-8.936988463832558	positive:-9.630135644392501
nobody	negative:-7.925913159077909	positive:-7.925913159077909
complaining	negative:-8.531654783357242	positive:-8.937119891465406
Enjoy	negative:-10.323282824952447	positive:-8.713844912518347
Mahatma	negative:-10.323184242891017	positive:-9.630037062331072
highlighted	negative:-9.224670536284338	positive:-9.224670536284338
unfair	negative:-9.630102784785171	positive:-9.224637676677007
comment	negative:-7.433929179694927	positive:-7.379861958424652
stick	negative:-7.551252550898262	positive:-8.37793112408273
Hiralal	negative:-10.323184242891017	positive:-9.630037062331072
complained	negative:-9.630332779364885	positive:-8.020894866930785
ourselves.	negative:-9.630102784785171	positive:-9.224637676677007
achievement	negative:-9.63020136036808	positive:-8.531589071699969
critic	negative:-8.531621928068358	positive:-9.224769108628303
knowledge	negative:-8.531983276888873	positive:-7.68468541650167
siblings	negative:-9.224736252259914	positive:-8.713910628493924
erased	negative:-9.630102784785171	positive:-9.224637676677007
flaws	negative:-8.244334047856094	positive:-7.758826232074394
raise	negative:-8.126321085610973	positive:-8.714107750513092
reviews	negative:-7.233521054800124	positive:-7.1890692922292905
suggests	negative:-8.937251301827303	positive:-8.020960569953147
congratulate	negative:-9.630069924098052	positive:-9.630069924098052
drive	negative:-8.531950432391145	positive:-7.758760544157663
songwriting	negative:-9.630037062331072	positive:-10.323184242891017
pop	negative:-8.020960569953147	positive:-8.937251301827303
yawner	negative:-9.630037062331072	positive:-10.323184242891017
dumps	negative:-9.630069924098052	positive:-9.630069924098052
spare	negative:-8.531589071699969	positive:-9.63020136036808
cult-movie-bad	negative:-9.630037062331072	positive:-10.323184242891017
sell	negative:-8.37763551389188	positive:-8.37763551389188
F.	negative:-9.630135644392501	positive:-8.936988463832558
Debbie	negative:-9.224637676677007	positive:-9.630102784785171
Needless	negative:-8.71387777104596	positive:-9.630168502920114
Reviewer	negative:-9.630069924098052	positive:-9.630069924098052
embarrassed.	negative:-9.630037062331072	positive:-10.323184242891017
horrifically	negative:-9.630037062331072	positive:-10.323184242891017
Gary	negative:-8.37763551389188	positive:-8.37763551389188
blonde	negative:-8.020993419845567	positive:-8.714140600405512
stereotypical	negative:-8.020960569953147	positive:-8.937251301827303
Life	negative:-8.377766906987361	positive:-7.925781783244304
Boone	negative:-9.630102784785171	positive:-9.224637676677007
Yep	negative:-9.630037062331072	positive:-10.323184242891017
badly	negative:-6.890313733105946	positive:-8.532541468363037
yuppie-wannabe	negative:-9.630037062331072	positive:-10.323184242891017
Up	negative:-8.713943484862313	positive:-8.937087036176523
nifty	negative:-9.22470339481195	positive:-8.937021322360168
flop	negative:-8.713844912518347	positive:-10.323282824952447
theatre	negative:-8.244334047856094	positive:-7.758826232074394
Light	negative:-8.937021322360168	positive:-9.22470339481195
goofy-homely-vulnerable	negative:-9.630037062331072	positive:-10.323184242891017
thinking	negative:-6.741602303349766	positive:-7.067024703784394
engaged	negative:-9.22470339481195	positive:-8.937021322360168
tune	negative:-8.937152745674855	positive:-8.377536957739432
Conn	negative:-9.630037062331072	positive:-10.323184242891017
Amazon	negative:-8.714009194360644	positive:-8.53168763756669
heavens	negative:-9.224637676677007	positive:-9.630102784785171
thinks	negative:-7.379599318895893	positive:-8.021453205068287
monster	negative:-7.146214281074121	positive:-7.839361461634066
ended	negative:-7.279712846452027	positive:-7.68517795456019
calls	negative:-7.758957594964566	positive:-7.8390003026381025
unmitigated	negative:-9.630037062331072	positive:-10.323184242891017
Didi	negative:-9.630037062331072	positive:-10.323184242891017
rolled.	negative:-9.630037062331072	positive:-10.323184242891017
aka	negative:-8.377602662920308	positive:-8.531753342747567
Zaslow	negative:-9.630037062331072	positive:-10.323184242891017
drives	negative:-8.937152745674855	positive:-8.377536957739432
GFT	negative:-9.630069924098052	positive:-9.630069924098052
hops	negative:-9.630037062331072	positive:-10.323184242891017
acted	negative:-7.92604451765417	positive:-7.6158895893503304
profoundly	negative:-9.630135644392501	positive:-8.936988463832558
exposition	negative:-8.936988463832558	positive:-9.630135644392501
stereotypically	negative:-8.713844912518347	positive:-10.323282824952447
missed.	negative:-9.630037062331072	positive:-10.323184242891017
recording	negative:-8.243939855616578	positive:-10.323381397296414
Mishima	negative:-10.323184242891017	positive:-9.630037062331072
Schrader	negative:-10.323184242891017	positive:-9.630037062331072
Bickle	negative:-10.323184242891017	positive:-9.630037062331072
celebrated	negative:-9.630135644392501	positive:-8.936988463832558
prove	negative:-7.838803251831199	positive:-8.377799752563886
searching	negative:-9.630168502920114	positive:-8.71387777104596
Chapters	negative:-10.323184242891017	positive:-9.630037062331072
art-house	negative:-9.224670536284338	positive:-9.224670536284338
bears	negative:-8.937119891465406	positive:-8.531654783357242
destroy	negative:-8.244169819973116	positive:-8.244169819973116
Four	negative:-9.630168502920114	positive:-8.71387777104596
Travis	negative:-9.630168502920114	positive:-8.71387777104596
writer	negative:-6.923398942970158	positive:-7.552007602392532
fall	negative:-7.685079466354074	positive:-7.433765038073168
resemblance	negative:-8.714042047490729	positive:-8.377569810869517
Driver	negative:-10.323217104657997	positive:-9.224604815989887
surrounding	negative:-8.531654783357242	positive:-8.937119891465406
realize	negative:-7.146476860259665	positive:-7.32879841705362
universe.	negative:-10.323184242891017	positive:-9.630037062331072
provides	negative:-8.714206296953181	positive:-7.838737559599282
information	negative:-7.838967463533294	positive:-7.838967463533294
Taxi	negative:-10.323249965345116	positive:-8.936955604225226
novels	negative:-9.630267072025351	positive:-8.24397271090546
Yukio	negative:-10.323184242891017	positive:-9.630037062331072
lonely	negative:-8.714042047490729	positive:-8.377569810869517
personality	negative:-8.377799752563886	positive:-7.838803251831199
surviving	negative:-8.531720490696776	positive:-8.531720490696776
normal	negative:-8.244432571641457	positive:-7.551285391081513
mayor	negative:-8.936955604225226	positive:-10.323249965345116
stinker	negative:-8.377438391872712	positive:-10.323348540928025
Bruce	negative:-8.377865440480617	positive:-7.684718259920672
rip-off	negative:-8.12625538258861	positive:-9.224867671256721
rubbish	negative:-7.490496557562984	positive:-9.630562721059254
describing	negative:-8.377536957739432	positive:-8.937152745674855
Davidson	negative:-9.630037062331072	positive:-10.323184242891017
Shark	negative:-9.224604815989887	positive:-10.323217104657997
gut-bustingly	negative:-9.630037062331072	positive:-10.323184242891017
unconvincingly	negative:-9.224604815989887	positive:-10.323217104657997
behold	negative:-9.224637676677007	positive:-9.630102784785171
1/10000th	negative:-9.630037062331072	positive:-10.323184242891017
Bulgaria	negative:-9.224604815989887	positive:-10.323217104657997
giant	negative:-7.68468541650167	positive:-8.531983276888873
no-one	negative:-8.713910628493924	positive:-9.224736252259914
amongst	negative:-8.377504103529983	positive:-9.224801963917187
Yossi	negative:-9.630037062331072	positive:-10.323184242891017
Spielberg	negative:-8.377569810869517	positive:-8.714042047490729
cop	negative:-7.490824954006118	positive:-7.839131648274333
hero	negative:-7.105556406624478	positive:-7.5518435092528975
Statue	negative:-9.630102784785171	positive:-9.224637676677007
talent	negative:-6.923661435999193	positive:-7.146804987313403
explosions	negative:-8.244038418244994	positive:-8.93718559880494
Wein	negative:-9.630037062331072	positive:-10.323184242891017
garbage	negative:-6.797973238066433	positive:-8.938039401562705
mentioning	negative:-8.713976340151197	positive:-8.713976340151197
advised	negative:-9.224604815989887	positive:-10.323217104657997
involve	negative:-9.630135644392501	positive:-8.936988463832558
fraction	negative:-9.224637676677007	positive:-9.630102784785171
gist	negative:-9.630037062331072	positive:-10.323184242891017
Boaz	negative:-9.630037062331072	positive:-10.323184242891017
Mr.Spielberg	negative:-9.630037062331072	positive:-10.323184242891017
sees	negative:-7.839427112894595	positive:-7.066237224661113
believes	negative:-8.377832597061614	positive:-7.758793388655391
incredibly	negative:-7.188708239922018	positive:-7.926307183052797
skilled	negative:-9.224637676677007	positive:-9.630102784785171
fake-looking	negative:-9.630037062331072	positive:-10.323184242891017
hands	negative:-7.2797784998676685	positive:-7.55171221535131
estimate	negative:-9.630037062331072	positive:-10.323184242891017
guaranteed	negative:-9.224670536284338	positive:-9.224670536284338
Sofia	negative:-9.630069924098052	positive:-9.630069924098052
hero.	negative:-9.630037062331072	positive:-10.323184242891017
octopus	negative:-9.630102784785171	positive:-9.224637676677007
overuse	negative:-8.936955604225226	positive:-10.323249965345116
creature-feature	negative:-9.630037062331072	positive:-10.323184242891017
worried	negative:-8.937054179808134	positive:-8.937054179808134
effects.	negative:-9.224604815989887	positive:-10.323217104657997
derivative	negative:-9.224637676677007	positive:-9.630102784785171
Octopus	negative:-9.630069924098052	positive:-9.630069924098052
attacks	negative:-8.53168763756669	positive:-8.714009194360644
Sometimes	negative:-8.531786193719137	positive:-8.244104121267357
trapping	negative:-9.630037062331072	positive:-10.323184242891017
Island	negative:-9.224736252259914	positive:-8.713910628493924
quit	negative:-9.224670536284338	positive:-9.224670536284338
capital	negative:-8.71387777104596	positive:-9.630168502920114
lives.	negative:-9.224670536284338	positive:-9.224670536284338
Amity	negative:-9.630037062331072	positive:-10.323184242891017
illusion	negative:-9.224604815989887	positive:-10.323217104657997
STV	negative:-9.630037062331072	positive:-10.323184242891017
Liberty	negative:-9.630102784785171	positive:-9.224637676677007
technically	negative:-9.630168502920114	positive:-8.71387777104596
steer	negative:-8.713844912518347	positive:-10.323282824952447
collapse	negative:-9.630102784785171	positive:-9.224637676677007
ropey-but-reasonably-enjoyable	negative:-9.630037062331072	positive:-10.323184242891017
B-movie	negative:-7.925683240041241	positive:-8.937284151719721
rubber	negative:-7.838606162187622	positive:-10.323512811975622
substitute	negative:-9.224604815989887	positive:-10.323217104657997
imitations	negative:-8.936955604225226	positive:-10.323249965345116
Jaws	negative:-8.12625538258861	positive:-9.224867671256721
dream	negative:-7.61618508307324	positive:-7.328503010621459
smithereens	negative:-9.630037062331072	positive:-10.323184242891017
fans	negative:-6.82900718747679	positive:-6.611942682238963
shots	negative:-6.541226752756696	positive:-7.029579520670628
tunnel	negative:-9.630069924098052	positive:-9.630069924098052
trash	negative:-7.433535194529939	positive:-8.37799680337079
hokey	negative:-8.531589071699969	positive:-9.63020136036808
tentacles	negative:-9.630037062331072	positive:-10.323184242891017
celebrations	negative:-9.630037062331072	positive:-10.323184242891017
stands	negative:-7.685013802160735	positive:-7.551482409536212
actively	negative:-9.630102784785171	positive:-9.224637676677007
master	negative:-8.244432571641457	positive:-7.551285391081513
thousand	negative:-8.244038418244994	positive:-8.93718559880494
expressions	negative:-9.224769108628303	positive:-8.531621928068358
contention	negative:-10.323184242891017	positive:-9.630037062331072
helps	negative:-8.532048962648224	positive:-7.551219709636498
particular	negative:-7.434093294378636	positive:-7.146411221926855
despite	negative:-6.992654307486145	positive:-7.066762279639867
clash	negative:-9.630102784785171	positive:-9.224637676677007
steeped	negative:-10.323184242891017	positive:-9.630037062331072
Bound	negative:-10.323217104657997	positive:-9.224604815989887
hearted	negative:-9.630102784785171	positive:-9.224637676677007
unfolds	negative:-9.224769108628303	positive:-8.531621928068358
foreign	negative:-8.244202667707446	positive:-8.126419632051062
fuzzy	negative:-9.630102784785171	positive:-9.224637676677007
Doggie	negative:-10.323184242891017	positive:-9.630037062331072
tends	negative:-10.323217104657997	positive:-9.224604815989887
monkey	negative:-8.937021322360168	positive:-9.22470339481195
cinema-photography	negative:-10.323184242891017	positive:-9.630037062331072
sad	negative:-6.992654307486145	positive:-7.066762279639867
enhance	negative:-9.224670536284338	positive:-9.224670536284338
affections	negative:-9.630069924098052	positive:-9.630069924098052
sparkers	negative:-10.323184242891017	positive:-9.630037062331072
secrets	negative:-8.714107750513092	positive:-8.126321085610973
parade	negative:-8.936988463832558	positive:-9.630135644392501
willing	negative:-7.926011679627733	positive:-7.6848496228108445
sides	negative:-8.531786193719137	positive:-8.244104121267357
sexes	negative:-9.630069924098052	positive:-9.630069924098052
equals	negative:-10.32331568348006	positive:-8.531556214252005
go'ers	negative:-10.323184242891017	positive:-9.630037062331072
happening	negative:-8.12648532428298	positive:-8.021124808625153
dramas	negative:-8.713943484862313	positive:-8.937087036176523
Baby	negative:-9.6302999262348	positive:-8.126222529458525
wedding	negative:-8.37763551389188	positive:-8.37763551389188
etc	negative:-6.957825411819402	positive:-6.828613680339396
reviewers.	negative:-10.323184242891017	positive:-9.630037062331072
midpoint	negative:-10.323184242891017	positive:-9.630037062331072
DANCING	negative:-10.323184242891017	positive:-9.630037062331072
pairing	negative:-10.323184242891017	positive:-9.630037062331072
depth	negative:-7.551449575822552	positive:-7.759088940600797
assassinations	negative:-10.323184242891017	positive:-9.630037062331072
unstopable	negative:-10.323184242891017	positive:-9.630037062331072
attend	negative:-9.22470339481195	positive:-8.937021322360168
dislike	negative:-8.531621928068358	positive:-9.224769108628303
waking	negative:-9.630069924098052	positive:-9.630069924098052
viewings	negative:-10.323249965345116	positive:-8.936955604225226
resist	negative:-9.224769108628303	positive:-8.531621928068358
